about1,about2,about_family,age2,birth1,birth2,birth3,birth4,body1,body2,brothers,caste1,caste2,city2,college,complexion1,complexion2,created_for,degree,details,drinking1,drinking2,eating1,eating2,education2,employed1,employed2,family_type1,family_type2,father,fields,gotra,have_children,height1,height2,horoscope,income1,income2,last_login,living,manglik1,manglik2,marital_status1,marital_status2,mother,mother1,mother2,nakshatra,occupation,profileID,raasi,religion1,religion2,sisters,smoking1,smoking2,special1,special2,status1,status2,subcaste,url,values1,values2,weight1,weight2
"I am 52, Finance Manager in a pvt ltd co. I am broadminded, humorous, adventurous, and frank person. Nature lover and enjoys God's Creations and loves to enjoy life. long drives and rides are my passion. I wanna have the best time, traveling and enjoying beauty of God's creations. Enjoy life with dignity and respect for the entire family. I and my family is loved by everyone in our locality. I am looking for a Female who is also humorous, broadminded and ready to make the best out of the time spent together. Ready to travel and should be believer in god.","I'm looking for a fine balanced someone who isn't afraid to show emotions nor afraid to put up a fight. She has to fight for her rights, I am sure life will be really beautiful with the simple understanding. It will be a family bonding that should be respected by both. Love and respect for each other views likes and dislikes and should be honored. Simple understanding, respect for each other views should be respected. ","I hv lost both my parents. my elder son is 23 year, graduated; younger on is 15 years old studying in 10th standard. both are lovable. We respect values of human being and love all who loves us.",45 to 52,14 Sep 1960,01:30:00,India,Others,Athletic,Slim,0 brothers ,,,,,Fair ,Doesn't Matter,Self,B.Com (Commerce),"53 yrs, 5ft 11in,<br />
					
					
					
					
													
						Parsi, 
						
					
						
						Gujarati ,<br />
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Finance and Accounts, <br />
					 
					
					Pune,
					 India",Occasionally,Occasionally,Non Vegetarian,Doesn't Matter,Doesn't Matter,Private Sector,,Others,Others,Passed,Commerce Honors,,Yes,5ft 11in,5ft 3in to 5ft 11in,,INR 7 lakhs to 10 lakhs,,"
						11 May 2013",,Do Not Know,,Divorced,Doesn't Matter,Passed,Gujarati,Gujarati,,Finance and Accounts,kermanbb14_in,,Parsi,Others,0 sisters ,No,No,None,None,Upper Middle Class,Upper Middle Class,,,Modern,Modern,84 Kgs,60 to 75 [Kgs]
I am 51 years old and a Consultant. Love adventure &amp; like to take challenges. I am a straightforward and honest person.,"I m looking for someone who is loyal, independent &amp; liberal. My partner should also be well educated, careerist &amp; loving. she must be able to relocate and stay with me. ","Its a simple and a moderate family with two sister's, two brother's and i m the last person in my family. father was a police man, mother is a housewife. formerly my job is in Armed Forces, after my retired i took my EDP.",40 to 49,10 Oct 1961,02:45:00,Malaysia,,Average,Average,2 brothers ,Nadar,,Others,Other Diploma Institute,Dark ,Doesn't Matter,Self,Other Diploma,"52 yrs, 5ft 9in,<br />
					
					
													
						Nadar,
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							Other Diploma, 				
					
						  	
					
					Banking, Insurance &amp; Financial Services, <br />
					 
					
					Kuala Lumpur,
					 Malaysia",Occasionally,No,Non Vegetarian,Doesn't Matter,,Public Sector,,Joint family only mother,Doesn't Matter,Passed,Management,,Yes,5ft 9in,5ft 6in to 5ft 9in,No,INR Don't wish to specify,,"
						28 Jan 2013",No,Do Not Know,Do Not Know,Widowed,Doesn't Matter,Housewife,Tamil,Malayalam,Chitra/ Chitha,"Banking, Insurance &amp; Financial Services",othm1178852,Libra,Hindu,Hindu,2 sisters ,No,No,None,None,Middle Class,Doesn't Matter,,,Moderate,Doesn't Matter,80 Kgs,70 to 80 [Kgs]
I am an easy type and very approachable.,,,,22 Nov 1957,,Ghana,,,,,,,,,,,Self,B.A. (Arts),"55 yrs, 5ft 7in,<br />
					
					
					
					
													
						Spiritual, 
						
					
																							
					
					
					
				
					
							B.A. (Arts), 				
					
						  	
					
					Advertising/ Entertainment/ Media, <br />
					 
					
					Others,
					 Ghana",,,,,,,,,,,,,No,5ft 7in,,,Unspecified Don't wish to specify,,"
						01 Aug 2013",,,,Never Married,,,,,,Advertising/ Entertainment/ Media,othm648521,,Spiritual,,,,,,,,,,,,,,
Am a person who live life with fun and happiness; people say I fill my surrounding with joy and happiness. I respect moral values but hate moral policing. I love to visit new places and cannot stop myself to experiment new and happening things.,,,38 to 45,10 May 1962,,India,Rest of Jharkhand,Average,Average,4 brothers ,Vaishnav,Vaishnava,,Other General University,Fair ,Fair,Self,BHMS (Homeopathy),"51 yrs, 5ft 10in,<br />
					
					
													
						Vaishnav,
					
					
													
						Hindu, 
						
					
						
						Bengali ,<br />
																							
					
					
					
				
					
							BHMS (Homeopathy), 				
					
						  	
					
					Health Care, <br />
					 
					
					India",No,No,Vegetarian,Vegetarian,"B.A. (Arts),B.Com (Commerce),B.Sc (Science)",Private Sector,Not Working,Nuclear,Nuclear,Passed,Homeopathy,,No,5ft 10in,5ft 3in to 5ft 8in,Yes,INR 7 lakhs to 10 lakhs,Doesn't Matter,"
						08 Jan 2013",No,No,No,Never Married,Never Married,Passed,Bengali,Bengali,,Non Working,SMM1480700,,Hindu,Hindu,1 sister ,No,No,None,None,Middle Class,Middle Class,Others,,Traditional,Moderate,68 Kgs,41 to 54 [Kgs]
"I am very simple &amp; self made man, I have done my graduation from Mumbai &amp; post graduation in Marketing. 
I come from Zamindar Family, we are Rajputs, &amp; speak Gujarati, Hindi, Marathi, English at home. 
I like to be with nature &amp; believe in character &amp; commitment in what I do,. 
I have pleasant personality &amp; have a charisma to take people a along with me I am not in politics nor inclined to it. 
I take life as it come &amp; do not harm any one, I am firm believer of Mother as only god in this world. 
I am strong dynamic &amp; well built physically &amp; medically fit. I love reading &amp; workouts are my hobbies. 
I like parting, &amp; veg eating habits, non-drinker, &amp; smoker. I travel a lot &amp; specialized in Projects &amp; being appointed as MD of Private Limited Company. 
I m fun loving &amp; Romantic &amp; down to earth 
I am looking beautiful, decent and self confident life partner, good looking tinking good &amp; doing good, &amp; responsible with understanding nature, willing to settle in Mumbai. 
If you are really serious &amp; willing to move along with similar ideology please revert back at your earliest

My father was Gm in PSU he has expired in 2004, my mother comes from Royal family of Chauhans she expired in 2000. I am staying with my two sisters &amp; I have no relatives from my mothers side nor form fathers side. We are very small &amp; cute we are very much of similar ideology &amp; we believe in ourselves &amp; all are god fearing &amp; very straight forward..","Looking for good &amp; smart as mentioned earlier I am looking for vert straight forward, friend, life partner, lover, ,Philoshper, guide &amp; a person down to earth, with humble nature &amp; great honesty, &amp; character. Fun loving &amp; take life as it come but try 100% no one is 100% perfect we can only try our best to do all things right with positive frame of mind. 
",,18 to 38,19 Mar 1961,17:30:00,India,Surat,Athletic,Average,,Rajput,,Ahmednagar,,Whetish Medium ,Very Fair,Self,B.Sc (Science),"52 yrs, ,<br />
					
					
													
						Rajput,
					
					
													
						Hindu, 
						
					
						
						Gujarati ,<br />
																							
					
					
					
				
					
							B.Sc (Science), 				
					
						  	
					
					Others, <br />
					 
					
					Mumbai,
					 India",No,No,Vegetarian,Vegetarian,10th,,,Nuclear,Nuclear,,,,No,4ft 10in to 5ft 6in,,No,INR 7 lakhs to 10 lakhs,,"
						20 May 2013",,No,No,Never Married,Never Married,,Gujarati,Hindi,,Others,sisodiaarunsinh,,Hindu,Hindu,,No,No,,Physical abnormality affecting bodily functions due to accident,,,,,Traditional,Traditional,,
Broad Minded &amp; Simple person . Looking for mumbai based employed  who is broad minded independent. I would like my partner to be my best friend companion soulmate. Mutual understanding &amp; compatibility is required to proceed further,,,35 to 45,07 Dec 1961,,India,Salem,Average,Average,,Brahmin,,Mumbai,,Wheatish ,Wheatish,Brother,B.Sc (Science),"51 yrs, 5ft 7in,<br />
					
					
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							B.Sc (Science), 				
					
						  	
					
					Health Care, <br />
					 
					
					India",No,No,Vegetarian,Vegetarian,Doesn't Matter,MNC,,Others,Doesn't Matter,,,,No,5ft 7in,5ft 5in to 5ft 7in,,INR 2 lakhs to 3 lakhs,,"
						15 Aug 2013",,No,Do Not Know,Never Married,Never Married,,Tamil,Tamil,,Health Care,jag45,,Hindu,Hindu,,No,No,,Doesn't Matter,Upper Middle Class,Doesn't Matter,,,Liberal,Moderate,68 Kgs,
Am a person who live life with fun and happiness; people say I fill my surrounding with joy and happiness. I respect moral values but hate moral policing. I love to visit new places and cannot stop myself to experiment new and happening things.,"Must be God fearing, lovable, trustworthy, caring and simple girl from a good family. Must give priority for personal relations. Educated and well settled. Could understand each other and adjustable to me.",,40 to 50,17 Nov 1953,,India,,Average,Average,0 brothers ,Nair,Nair,,,Fair ,Fair,Self,B.A. (Arts),"59 yrs, 5ft 7in,<br />
					
					
													
						Nair,
					
					
													
						Hindu, 
						
					
						
						Malayalam ,<br />
																							
					
					
					
				
					
							B.A. (Arts), 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					India",No,No,Non Vegetarian,Vegetarian,"M.Com. (Commerce),M.Sc. (Science),MA (Arts),B.A. (Arts),B.Com (Commerce),B.Sc (Science)",Private Sector,Doesn't Matter,Nuclear,Nuclear,Passed,Arts/ Humanities/ Social Sciences,,Yes,5ft 7in,5ft 1in to 5ft 6in,Yes,INR Don't wish to specify,Doesn't Matter,"
						26 Dec 2012",Yes,No,No,Divorced,Doesn't Matter,Passed,Malayalam,Malayalam,,Business Owner / Entrepreneur,SMM1491041,,Hindu,Hindu,0 sisters ,No,No,None,None,Middle Class,Middle Class,,,Traditional,Traditional,62 Kgs,41 to 55 [Kgs]
"I am a healthy and strong person having varied interests. I like walking, yoga, meditation, reading, traveling, singing and playing musical instrument, good food, etc. I love photography and extensively traveled all over India.",,,49 to 55,24 Aug 1952,00:30:00,India,Mumbai,Athletic,,2 brothers ,Brahmin -Gowd Saraswat,,,,Fair ,,Self,B.Sc (Science),"61 yrs, 5ft 8in,<br />
					
					
													
						Brahmin -Gowd Saraswat,
					
					
													
						Hindu, 
						
					
						
						Konkani ,<br />
																							
					
					
					
				
					
							B.Sc (Science), 				
					
						  	
					
					Government Employee, <br />
					 
					
					Mumbai,
					 India",No,,Vegetarian,,,Public Sector,,Nuclear,,Passed,Other B.Sc.,vaccha,No,5ft 8in,,,Unspecified Don't wish to specify,,"
						16 Apr 2013",No,Do Not Know,,Divorced,Doesn't Matter,Passed,Konkani,Konkani,Hastha/ Atham,Government Employee,mumm564658,Virgo,Hindu,Hindu,1 sister ,No,,None,,Upper Middle Class,,,,Moderate,,75 Kgs,
"I am a simple, honest,kind hearted person.I will be trust worthy and sincere to the partner for lifelong.God created us to live and let others live.Thanks.",I expect almost the same nature and qualities from my partner.Happiness and healthy life should be her motto.Afterall God created us to enjoy our life to the maximum extent possible.,,45 to 56,04 Sep 1952,,India,,Average,Average,,Kamma,Kamma,Chennai,,Fair ,Fair,Self,Other Diploma,"61 yrs, 5ft 4in,<br />
					
					
													
						Kamma,
					
					
													
						Hindu, 
						
					
						
						Telugu ,<br />
																							
					
					
					
				
					
							Other Diploma, 				
					
						  	
					
					Others, <br />
					 
					
					Chennai,
					 India",No,No,Non Vegetarian,Doesn't Matter,,,,Others,,,,,Yes,5ft 4in,4ft 9in to 5ft 4in,No,INR 1 lakh to 2 lakhs,,"
						09 Aug 2013",,Do Not Know,Do Not Know,Widowed,Widowed,,Telugu,Telugu,,Others,chem156968,,Hindu,Hindu,,No,No,None,None,Upper Middle Class,Doesn't Matter,,,Moderate,Moderate,60 Kgs,
"Hi, I am a believer in simple living high thinking, a positive thinker, divorce by mutual consent, have one daughter (only child) who is married recently. Financially well settled. Admire honesty, trust &amp; love.","I am looking for a good looking, down to earth thinking, understanding, caring,social, cheerful nature, healthy companion who shares similar qualities and also respects elders, other human beings for whatever they are, having no ego, to share or explore the future life in good and bad times as a true partner or friend. Non-working will also do.
",,45 to 55,30 Jul 1957,05:25:00,India,Pune,Average,Average,1 brother ,Maratha,,,,Wheatish ,Wheatish,Self,B.Sc (Science),"56 yrs, 5ft 5in,<br />
					
					
													
						Maratha,
					
					
													
						Hindu, 
						
					
						
						Marathi ,<br />
																							
					
					
					
				
					
							B.Sc (Science), 				
					
						  	
					
					Others, <br />
					 
					
					Thane,
					 India",No,No,Vegetarian With Eggs,Vegetarian,Other School/ Graduation,Not Working,,Nuclear,Doesn't Matter,Retired,Chemistry,,Yes,5ft 5in,5ft to 5ft 5in,Yes,INR 7 lakhs to 10 lakhs,,"
						27 Jun 2013",No,No,No,Divorced,Doesn't Matter,Passed,Marathi,Marathi,,Others,tham1060914,Leo,Hindu,Hindu,1 sister ,No,No,None,None,Middle Class,Middle Class,96 Kuli Deshastha,,Moderate,Moderate,63 Kgs,50 to 65 [Kgs]
"My wife expired about a year back. Though I had an option of shifting to my elder son for which he insisted but since I am still having about 5 years service, I preferred to stay back in my service. The current salary is Rs. 1,05,000/- per month. Since I am having some unfinished work of writing, which I wish to complete before I shift to my native place, that is, Allahabad. I need a companion and a home-maker. The house in which I live is quite big and is provided with all the modern amenities including a car. At Allahabad I am having my ancestral house and landed property in a village near Allahabad as well as in Civil Lines area of Allahabad city.
I can assure that the person who decides to come and stay with me as my wife shall be very very happy for her entire life.
I have got two sons (both engineers), who are married and are very well-off, earning around Rs. 15 lakhs per year each. They will also feel happy if some one comes and stays with me as my wife for rest of my life. There is no liability of any kind.","She should be literate/educated, and should be a good home maker. An unmarried lady would be preferable; however an issueless widow or a divorcee can also be considered. A lady from a poor family who could not be married due to financial problems would be preferable. A lady with some minor curable physical defect could also be considered after treatment for full cure at my cost. She should be good looking and slim and must know good quality food preparation.",,40 to 50,01 Jul 1954,,India,Allahabad,Average,Slim,,Kayastha,Kayastha,,,Wheatish ,Fair,Self,Ph.D. (Doctorate),"59 yrs, 5ft 8in,<br />
					
					
													
						Kayastha,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							Ph.D. (Doctorate), 				
					
						  	
					
					Education/ Training, <br />
					 
					
					Dhanbad,
					 India",No,No,Vegetarian,Vegetarian,,Central Government,,Nuclear,Doesn't Matter,,,,Yes,5ft 8in,4ft 11in to 5ft 7in,,INR 7 lakhs to 10 lakhs,,"
						22 Mar 2013",,Do Not Know,Do Not Know,Widowed,Doesn't Matter,,Hindi,Hindi,,Education/ Training,allm922654,,Hindu,Hindu,,No,No,None,None,Upper Middle Class,Doesn't Matter,,,Traditional,Traditional,69 Kgs,41 to 60 [Kgs]
i am  independent/ romantic/ caring/ jovial/ ambitious/ hard working/  straightforward/ free from bad habits/ clever/ having  very good status/ respectable family,should be having good  qualities/ beautiful/ fair/   slim/ good family.  respectable/ maintain status.  neat and clean.,,39 to 45,24 Feb 1960,,India,,Average,,,,,,,Fair,,Self,MA (Arts),"53 yrs, 5ft 3in,<br />
					
					
					
					
													
						Others, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							MA (Arts), 				
					
						  	
					
					Banking, Insurance &amp; Financial Services, <br />
					 
					
					Chennai,
					 India",No,No,Non Vegetarian,Doesn't Matter,Doesn't Matter,,,Nuclear,Doesn't Matter,,,,Yes,5ft 3in,4ft 11in to 5ft 4in,,INR Don't wish to specify,,"
						12 Dec 2012",,Do Not Know,,Divorced,Doesn't Matter,,Tamil,Tamil,,"Banking, Insurance &amp; Financial Services",chem1291680,,Others,,,No,No,,None,Middle Class,Doesn't Matter,,,Moderate,Doesn't Matter,50 to 68 [Kgs],
"I am retired From Punjab State cooperative Bank Ltd after 41year service.I have worked as press media inthe News paper daily/weekly/fotnightly/monthly to collect the advertisement from verious manufacturs factories as part time.I belong to sikh comunity and fit for family life. I hated the person who is not honest. Sincere life partner is appriciabe. I have travled foriegn country as usa,canda,uk,pak.In feture ,I want work in press Media for collect the add to print in news paper in forigen paper Canada/uk,etc.
                                             






7654",,"Father expired .farmer and mother is house wife. My son is officer in punjab govt. service. daughter  married,one is still un-married My son is married also and daughter-in-law is govt. teacher.",,01 Nov 1946,11:45:00,India,,Average,,,,,,,Very Fair ,,Self,Others,"67 yrs, 5ft 8in,<br />
					
					
					
					
													
						Sikh, 
						
					
						
						Punjabi ,<br />
																							
					
					
					
				
					
							Others, 				
					
						  	
					
					Banking, Insurance &amp; Financial Services, <br />
					 
					
					India",No,,Vegetarian,,,Public Sector,,Others,,,,,No,5ft 8in,,,INR 2 lakhs to 3 lakhs,,"
						13 Aug 2013",,,,Widowed,,,Punjabi,,,"Banking, Insurance &amp; Financial Services",premiji,,Sikh,,,No,,Physically challenged from birth,,Middle Class,,,,Traditional,,,
"hello  I'm psu  bank employee   clerk   living alone  i like travilling photography etc I'm looking for bride must be in central psu service ,   railways,  l i c,  gic,  other central govt esblshmnt   [prefernce to   S B INDIA employee] of any community  age mutst be between  41 to 44 yrs,
thanks",any maharashtra based bride age between 42 to 45 yrsmust be in central psu [prefer nce to S B INDIA EMPLOYEE],,41 to 45,06 Oct 1962,,India,Gwalior,Average,,,Brahmin,,,,Whetish Medium ,,Self,Masters,"51 yrs, 5ft 6in,<br />
					
					
													
						Brahmin,
					
					
													
						Hindu, 
						
					
						
						Marathi ,<br />
																							
					
					
					
				
					
							Masters, 				
					
						  	
					
					Banking, Insurance &amp; Financial Services, <br />
					 
					
					Bhopal,
					 India",No,No,Vegetarian,,Other School/ Graduation,,,Nuclear,,,,,No,5ft 6in,,No,INR 1 lakh to 2 lakhs,,"
						28 Aug 2013",,Do Not Know,Do Not Know,Never Married,Never Married,,Marathi,Others,,"Banking, Insurance &amp; Financial Services",dileep78rpm,,Hindu,Others,,No,No,,,,,,,Moderate,,,
im a happy go lucky kind of a person. would take life as it comes. in difficult times try to deal with courage and in easy times enjoy it. rest leave it on god.,"i would like my partner to try and be of courage and good health. and try to deal all kind of circumstances with comfort and ease. try to be happy as much as possible in life because life is so short
only 1 life we get to live
so enjoy as much as possible",,33 to 40,27 Oct 1962,09:10:00,Netherlands Antilles,Kolkata,Average,Slim,,Brahmin,,,,Wheatish ,Fair,Self,B.Com (Commerce),"51 yrs, 5ft 4in,<br />
					
					
													
						Brahmin,
					
					
													
						Hindu, 
						
					
						
						Sindhi ,<br />
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Sales/ Business Development, <br />
					 
					
					Others,
					 Netherlands Antilles",No,Occasionally,Non Vegetarian,Doesn't Matter,,,,,,,,,No,5ft 4in,5ft to 5ft 5in,,Unspecified Don't wish to specify,,"
						22 Apr 2013",,No,No,Divorced,Doesn't Matter,,Sindhi,Others,,Sales/ Business Development,othm1352172,Scorpio,Hindu,,,No,No,None,None,,,,,,,150 Pounds,
"coming from a moderate middle class family, and self employed. I am the eldest, one brother and one sister settled abroad.earning enough for family maintanance.",coming from a moderate middle class family and good looking. should not be a spend -thrift and spend for necessacities. smiling and welcoming character to me and guests visiting rarely.,,45 to 55,03 May 1955,,India,,Doesn't Matter,,,Pillai,,,,Fair,,Self,B.Com (Commerce),"58 yrs, 5ft 7in,<br />
					
					
													
						Pillai,
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Chennai,
					 India",,,,,,,,,,,,,No,5ft 7in,5ft 3in to 5ft 6in,,Unspecified Don't wish to specify,,"
						26 Jul 2013",,Do Not Know,No,Divorced,Doesn't Matter,,Tamil,"Malayalam,Tamil,Telugu",,Business Owner / Entrepreneur,chem642584,,Hindu,Hindu,,,,,,,,,,,,,
"Worked as an officer in Indian government retired now. Presently working as full time journalist for two national Dailies of west Bengal; worked also for north Indian newspapers and a few foreign newspapers Thin fit body. Traveling, reading, writing and exercise are my habits. Married have three children all settled independently. Wife is alive but devoted entirely to God's devotion. Living separately, own a house in posh locality of deli. Getting permanent pension as well salary from newspapers and the rent from the house. Want to enjoy life in traveling gossiping and going for outings",,,40 to 45,20 Jul 1941,,India,Karnal,,,,Nai,,,Punjab University,Wheatish ,,Self,B.A. (Arts),"72 yrs, 5ft 6in,<br />
					
					
													
						Nai,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							B.A. (Arts), 				
					
						  	
					
					Others, <br />
					 
					
					Delhi,
					 India",,,Non Vegetarian,,,Central Government,,,,,Language- English,Bhardwaj,Yes,5ft 6in,4ft 5in to 5ft 5in,No,INR 1 lakh to 2 lakhs,,"
						11 Dec 2012",,Do Not Know,,Divorced,Doesn't Matter,,Hindi,Doesn't Matter,,Others,SMM1492257,,Hindu,,,No,,None,,,,,,,,,
"I am from lower midle class family and self made man. have stong value for institution of marriage and tried my best to pull on very painful relations for the sake of my two sons. Divorced in 2000 but could not think in this regards earlier due to horrible experience of the past relations &amp; my moral resposibities towards my growing sons. Now elder son is married and working in south India while younger one is completing his M.Tech IT from premier Indian Institute.  He is likely to fly overseas soon for his career.
Though I was always alone but now I feel pain of lonelyness more and looking for a loving caring and sharing partner who can provide a lasting relation full of mutual respect , love and trust. I am an MBA specialized in HR and IR, LLB 
specialized in Industrial Laws and have 3 years of teaching experience to MBA classes and 12   years' experience of dispensation of civil and criminal dispensation of justice. Also 15 years of army service.  Hence I may switch over my job for a peaceful, loveable and happy life. I will try to be a caring loving and very supportive life partner in all respect. My self is a very humble and firm public servant at work place but like an obedient student at home.","I am looking for a life partner who is cosmopolitan in thought. believes in loving caring and sharing and have faith in institution of marriage. Also look for supportive life partner. Basically, I look for a life partner who is independent and capable of taking independent decision for self and love me a lot.",,48 to 55,27 Aug 1959,23:30:00,India,Rest of Uttar Pradesh,Average,Doesn't Matter,,Brahmin,Brahmin,,,Very Fair ,Doesn't Matter,Self,MBA/PGDM,"54 yrs, 5ft 9in,<br />
					
					
													
						Brahmin,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							MBA/PGDM, 				
					
						  	
					
					Civil Services / Law Enforcement, <br />
					 
					
					Rest of Uttar Pradesh,
					 India",No,Doesn't Matter,Vegetarian With Eggs,Doesn't Matter,Doesn't Matter,State Government,,Nuclear,Doesn't Matter,,,,Yes,5ft 9in,5ft 3in to 5ft 10in,,INR 4 lakhs to 5 lakhs,,"
						28 Jul 2013",,No,No,Divorced,Divorced,,Hindi,Hindi,,Civil Services / Law Enforcement,uttm392410,Taurus,Hindu,Hindu,,No,No,None,None,Middle Class,Doesn't Matter,,,Moderate,Moderate,75 Kgs,50 to 70 [Kgs]
"US Citizen , seeking alliances prom Preferably vegetarian/ occasionally non-veg residing in USA or India. 
Work as a Software Engineer in New York City. 

In short, me as a well  educated, simple and fun loving, never married and a nonsmoker person. 

I am willing to relocate within USA/canada  for suitable candidate.",,-------,,01 Jun 1961,,United States of America,,Slim,,,,,,,Fair ,,Self,M.Sc. (Science),"52 yrs, 5ft 6in,<br />
					
					
					
					
													
						Spiritual, 
						
					
						
						Marathi ,<br />
																							
					
					
					
				
					
							M.Sc. (Science), 				
					
						  	
					
					Telecom/ ISP, <br />
					 
					
					New Jersey,
					 United States of America",No,,Vegetarian,,,Private Sector,,Others,,,,,No,5ft 6in,,,US$ 1 lakh to 2 lakhs,,"
						27 Apr 2013",,,,Never Married,,,Marathi,,,Telecom/ ISP,ashok2007y,,Spiritual,,,No,,None,,Middle Class,,,,Modern,,,
"love to live and let live. strive for peace, happiness and joy. accept what god has in store. enjoy nature and believe in humanity. smile and be happy.","any one who loves to live peacefull, and happily and enjoys life and accepts whatever god gives us. nice human being, can explore her potential and have space and full freedom if she wishes and desires. believes in humanity as the core of her religion. ","Integrated, happy, peace loving family with rural and cosmopolitan base; combination of traditional and modern values and outlook; spiritual and not ritualistic, respecting humanity and all creations of God.",30 to 55,08 Apr 1956,,India,Allahabad,Athletic,Doesn't Matter,5 brothers ,Kayastha,,,Allahabad University,Fair ,Doesn't Matter,Self,MBA/PGDM,"57 yrs, 5ft 6in,<br />
					
					
													
						Kayastha,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							MBA/PGDM, 				
					
						  	
					
					Others, <br />
					 
					
					Allahabad,
					 India",Occasionally,,Non Vegetarian,,,Private Sector,,Joint family both parents,,Service - Govt/ PSU,Strategy Management,,Yes,5ft 6in,5ft 2in to 5ft 6in,No,INR Don't wish to specify,,"
						28 Jul 2013",Yes,Do Not Know,Do Not Know,Widowed,Doesn't Matter,Passed,Hindi,Others,,Others,uttm316452,,Hindu,,3 sisters ,Moderate,,None,None,Middle Class,,Others,,International,,64 Kgs,50 to 75 [Kgs]
"I am Ex-merchant navy Captain and now in teaching profession, very highly qualified in my profession and also authored books. I like travelling and listening to gazals and sufi music. I look much younger than my age and am healthy person. I have my own flat in a posh locality in Mumbai.",,,39 to 45,15 Apr 1960,,India,,Athletic,Doesn't Matter,0 brothers ,,,,,Wheatish ,Doesn't Matter,Friend,Ph.D. (Doctorate),"53 yrs, 6ft,<br />
					
					
					
					
													
						Hindu, 
						
					
						
						Sindhi ,<br />
																							
					
					
					
				
					
							Ph.D. (Doctorate), 				
					
						  	
					
					Education/ Training, <br />
					 
					
					Mumbai,
					 India",No,No,Vegetarian,Vegetarian,"B.Pharm (Pharmacy),BDS (Dental Surgery),M.Pharm. (Pharmacy),MBBS,MD/ MS (Medicine)",Private Sector,,Doesn't Matter,,Passed,Other Ph.D.,,No,6ft,5ft 3in to 5ft 10in,Yes,INR 10 lakhs  to 15 lakhs,,"
						07 Aug 2013",,No,No,Divorced,Doesn't Matter,Passed,Sindhi,Doesn't Matter,,Education/ Training,sindhi_in,,Hindu,Hindu,3 sisters ,No,No,,None,Upper Middle Class,Doesn't Matter,,,Liberal,Doesn't Matter,80 Kgs,
"energetic, sportive, quite, friendly peace loving moderate optimistic love to work till my end of my life without disturbing others life unnecessarily",reasonable with human values educated accepting the realistic nature of the worldly affair on a day today basis to face the life smoothly with out fear,,32 to 44,18 Jan 1962,,India,Bangalore,Average,Average,,Brahmin Kanada Madhva,,,,Whetish Medium ,Doesn't Matter,Self,B.Com (Commerce),"51 yrs, 5ft 2in,<br />
					
					
													
						Brahmin Kanada Madhva,
					
					
													
						Hindu, 
						
					
						
						Kannada ,<br />
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Finance and Accounts, <br />
					 
					
					India",Occasionally,Occasionally,Vegetarian,Vegetarian,,Private Sector,,Nuclear,,,,,No,5ft 2in,4ft 11in to 5ft 1in,,INR 1 lakh to 2 lakhs,,"
						25 Jul 2013",,Do Not Know,Do Not Know,Divorced,Divorced,,Kannada,Others,,Finance and Accounts,banm390081,,Hindu,Others,,Moderate,No,None,None,Middle Class,,,,Liberal,,58 Kgs,45 to 50 [Kgs]
"Born raised and worked in Kolkata and further studied in north America. Also worked in Caribbean and other different places in north America, looking for a soul mate who is willing to stay with me here in North America or India. Financially stable and looking for a good looking positive financially stable partner.",,"All highly educated settled in different places with respect to their professions and choices. still keep in touch with one another with good times and bad times. I am going through divorce and will be finalized, by September 2012.",41 to 44,17 Apr 1951,,,,Slim,,3 brothers ,Baishya,,,McGill University,Fair ,,Self,M.Sc. (Science),"62 yrs, 5ft 6in,<br />
					
					
													
						Baishya,
					
					
													
						Hindu, 
						
					
						
						Bengali ,<br />
																							
					
					
					
				
					
							M.Sc. (Science), 				
					
						  	
					
					Education/ Training, <br />
					 
					
					Mississauga,
					 Canada",No,,Vegetarian With Eggs,,,Others,,Nuclear,,Passed,Maths,,Yes,5ft 6in,5ft to 5ft 6in,,INR 10 lakhs  to 15 lakhs,,"
						16 Jan 2013",,Do Not Know,Doesn't Matter,Divorced,Never Married,Retired,Bengali,Bengali,,Education/ Training,SMM1458216,,Hindu,Hindu,2 sisters ,No,,None,,Rich / Affluent,,,,Traditional,,,
